"clei_u.b": 0x7A800007
"clei_u.d": 0x7AE00007
"clei_u.h": 0x7AA00007
"clei_u.w": 0x7AC00007
"clo": 0x00000051
"clt_s.b": 0x7900000F
"clt_s.d": 0x7960000F
"clt_s.h": 0x7920000F
"clt_s.w": 0x7940000F
"clt_u.b": 0x7980000F
"clt_u.d": 0x79E0000F
"clt_u.h": 0x79A0000F
"clt_u.w": 0x79C0000F
"clti_s.b": 0x79000007
"clti_s.d": 0x79600007
"clti_s.h": 0x79200007
"clti_s.w": 0x79400007
"clti_u.b": 0x79800007
"clti_u.d": 0x79E00007
"clti_u.h": 0x79A00007
"clti_u.w": 0x79C00007
"clz": 0x00000050
"cmp.af.d": 0x46A00000
"cmp.af.s": 0x46800000
"cmp.eq.d": 0x46A00002
"cmp.eq.ph": 0x7C000211
"cmp.eq.s": 0x46800002
"cmp.le.d": 0x46A00006
"cmp.le.ph": 0x7C000291
"cmp.le.s": 0x46800006
"cmp.lt.d": 0x46A00004
"cmp.lt.ph": 0x7C000251
"cmp.lt.s": 0x46800004
"cmp.saf.d": 0x46A00008
"cmp.saf.s": 0x46800008
"cmp.seq.d": 0x46A0000A
"cmp.seq.s": 0x4680000A
"cmp.sle.d": 0x46A0000E
"cmp.sle.s": 0x4680000E
"cmp.slt.d": 0x46A0000C
"cmp.slt.s": 0x4680000C
"cmp.sueq.d": 0x46A0000B
"cmp.sueq.s": 0x4680000B
"cmp.sule.d": 0x46A0000F
"cmp.sule.s": 0x4680000F
"cmp.sult.d": 0x46A0000D
"cmp.sult.s": 0x4680000D
"cmp.sun.d": 0x46A00009
"cmp.sun.s": 0x46800009
"cmp.ueq.d": 0x46A00003
"cmp.ueq.s": 0x46800003
"cmp.ule.d": 0x46A00007
"cmp.ule.s": 0x46800007
"cmp.ult.d": 0x46A00005
"cmp.ult.s": 0x46800005
"cmp.un.d": 0x46A00001
"cmp.un.s": 0x46800001
"cmpgdu.eq.qb": 0x7C000611
"cmpgdu.le.qb": 0x7C000691
"cmpgdu.lt.qb": 0x7C000651
"cmpgu.eq.qb": 0x7C000111
"cmpgu.le.qb": 0x7C000191
"cmpgu.lt.qb": 0x7C000151
"cmpu.eq.qb": 0x7C000011
"cmpu.le.qb": 0x7C000091
"cmpu.lt.qb": 0x7C000051
"copy_s.b": 0x78800019
"copy_s.d": 0x78B80019
"copy_s.h": 0x78A00019
"copy_s.w": 0x78B00019
"copy_u.b": 0x78C00019
"copy_u.d": 0x78F80019
"copy_u.h": 0x78E00019
"copy_u.w": 0x78F00019
"ctc1": 0x44C00000
"ctcmsa": 0x783E0019
"cvt.d.s": 0x46000021
"cvt.d.w": 0x46800021
"cvt.l.d": 0x46200025
"cvt.l.s": 0x46000025
"cvt.s.d": 0x46200020
"cvt.s.w": 0x46800020
"cvt.w.d": 0x46200024
"cvt.w.s": 0x46000024
"deret": 0x4200001F
"di": 0x41606000
"div": 0x0000009A
"div.d": 0x46200003
"div.s": 0x46000003
"div_s.b": 0x7A000012
"div_s.d": 0x7A600012
"div_s.h": 0x7A200012
"div_s.w": 0x7A400012
"div_u.b": 0x7A800012
"div_u.d": 0x7AE00012
"div_u.h": 0x7AA00012
"div_u.w": 0x7AC00012
"divu": 0x0000009B
"dlsa": 0x00000015
"dmfc1": 0x44200000
"dmtc1": 0x44A00000
"dotp_s.d": 0x78600013
"dotp_s.h": 0x78200013
"dotp_s.w": 0x78400013
"dotp_u.d": 0x78E00013
"dotp_u.h": 0x78A00013
"dotp_u.w": 0x78C00013
"dpa.w.ph": 0x7C000030
"dpadd_s.d": 0x79600013
"dpadd_s.h": 0x79200013
"dpadd_s.w": 0x79400013
"dpadd_u.d": 0x79E00013
"dpadd_u.h": 0x79A00013
"dpadd_u.w": 0x79C00013
"dpaq_s.w.ph": 0x7C000130
"dpaq_sa.l.w": 0x7C000330
"dpaqx_s.w.ph": 0x7C000630
"dpaqx_sa.w.ph": 0x7C0006B0
"dpau.h.qbl": 0x7C0000F0
"dpau.h.qbr": 0x7C0001F0
"dpax.w.ph": 0x7C000230
"dps.w.ph": 0x7C000070
"dpsq_s.w.ph": 0x7C000170
"dpsq_sa.l.w": 0x7C000370
"dpsqx_s.w.ph": 0x7C000670
"dpsqx_sa.w.ph": 0x7C0006F0
"dpsu.h.qbl": 0x7C0002F0
"dpsu.h.qbr": 0x7C0003F0
"dpsub_s.d": 0x7A600013
"dpsub_s.h": 0x7A200013
"dpsub_s.w": 0x7A400013
"dpsub_u.d": 0x7AE00013
"dpsub_u.h": 0x7AA00013
"dpsub_u.w": 0x7AC00013
"dpsx.w.ph": 0x7C000270
"ehb": 0x000000C0
"ei": 0x41606020
"eret": 0x42000018
"ext": 0x7C000000
"extp": 0x7C0000B8
"extpdp": 0x7C0002B8
"extpdpv": 0x7C0002F8
"extpv": 0x7C0000F8
"extr.w": 0x7C000038
"extr_r.w": 0x7C000138
"extr_rs.w": 0x7C0001B8
"extr_s.h": 0x7C0003B8
"extrv.w": 0x7C000078
"extrv_r.w": 0x7C000178
"extrv_rs.w": 0x7C0001F8
"extrv_s.h": 0x7C0003F8
"fadd.d": 0x7820001B
"fadd.w": 0x7800001B
"fcaf.d": 0x7820001A
"fcaf.w": 0x7800001A
"fceq.d": 0x78A0001A
"fceq.w": 0x7880001A
"fclass.d": 0x7B21001E
"fclass.w": 0x7B20001E
"fcle.d": 0x79A0001A
"fcle.w": 0x7980001A
"fclt.d": 0x7920001A
"fclt.w": 0x7900001A
"fcne.d": 0x78E0001C
"fcne.w": 0x78C0001C
"fcor.d": 0x7860001C
"fcor.w": 0x7840001C
"fcueq.d": 0x78E0001A
"fcueq.w": 0x78C0001A
"fcule.d": 0x79E0001A
"fcule.w": 0x79C0001A
"fcult.d": 0x7960001A
"fcult.w": 0x7940001A
"fcun.d": 0x7860001A
"fcun.w": 0x7840001A
"fcune.d": 0x78A0001C
"fcune.w": 0x7880001C
"fdiv.d": 0x78E0001B
"fdiv.w": 0x78C0001B
"fexdo.h": 0x7A00001B
"fexdo.w": 0x7A20001B
"fexp2.d": 0x79E0001B
"fexp2.w": 0x79C0001B
"fexupl.d": 0x7B31001E
"fexupl.w": 0x7B30001E
"fexupr.d": 0x7B33001E
"fexupr.w": 0x7B32001E
"ffint_s.d": 0x7B3D001E
"ffint_s.w": 0x7B3C001E
"ffint_u.d": 0x7B3F001E
"ffint_u.w": 0x7B3E001E
"ffql.d": 0x7B35001E
"ffql.w": 0x7B34001E
"ffqr.d": 0x7B37001E
"ffqr.w": 0x7B36001E
"fill.b": 0x7B00001E
"fill.d": 0x7B03001E
"fill.h": 0x7B01001E
"fill.w": 0x7B02001E
"flog2.d": 0x7B2F001E
"flog2.w": 0x7B2E001E
"floor.w.d": 0x4620000F
"floor.w.s": 0x4600000F
"fmadd.d": 0x7920001B
"fmadd.w": 0x7900001B
"fmax.d": 0x7BA0001B
"fmax.w": 0x7B80001B
"fmax_a.d": 0x7BE0001B
"fmax_a.w": 0x7BC0001B
"fmin.d": 0x7B20001B
"fmin.w": 0x7B00001B
"fmin_a.d": 0x7B60001B
"fmin_a.w": 0x7B40001B
"fmsub.d": 0x7960001B
"fmsub.w": 0x7940001B
"fmul.d": 0x78A0001B
"fmul.w": 0x7880001B
"frcp.d": 0x7B2B001E
"frcp.w": 0x7B2A001E
"frint.d": 0x7B2D001E
"frint.w": 0x7B2C001E
"frsqrt.d": 0x7B29001E
"frsqrt.w": 0x7B28001E
"fsaf.d": 0x7A20001A
"fsaf.w": 0x7A00001A
"fseq.d": 0x7AA0001A
"fseq.w": 0x7A80001A
"fsle.d": 0x7BA0001A
"fsle.w": 0x7B80001A
"fslt.d": 0x7B20001A
"fslt.w": 0x7B00001A
"fsne.d": 0x7AE0001C
"fsne.w": 0x7AC0001C
"fsor.d": 0x7A60001C
"fsor.w": 0x7A40001C
"fsqrt.d": 0x7B27001E
"fsqrt.w": 0x7B26001E
"fsub.d": 0x7860001B
"fsub.w": 0x7840001B
"fsueq.d": 0x7AE0001A
"fsueq.w": 0x7AC0001A
"fsule.d": 0x7BE0001A
"fsule.w": 0x7BC0001A
"fsult.d": 0x7B60001A
"fsult.w": 0x7B40001A
"fsun.d": 0x7A60001A
"fsun.w": 0x7A40001A
"fsune.d": 0x7AA0001C
"fsune.w": 0x7A80001C
"ftint_s.d": 0x7B39001E
"ftint_s.w": 0x7B38001E
"ftint_u.d": 0x7B3B001E
"ftint_u.w": 0x7B3A001E
"ftq.h": 0x7A80001B
"ftq.w": 0x7AA0001B
"ftrunc_s.d": 0x7B23001E
"ftrunc_s.w": 0x7B22001E
"ftrunc_u.d": 0x7B25001E
"ftrunc_u.w": 0x7B24001E
"hadd_s.d": 0x7A600015
"hadd_s.h": 0x7A200015
"hadd_s.w": 0x7A400015
"hadd_u.d": 0x7AE00015
"hadd_u.h": 0x7AA00015
"hadd_u.w": 0x7AC00015
"hsub_s.d": 0x7B600015
"hsub_s.h": 0x7B200015
"hsub_s.w": 0x7B400015
"hsub_u.d": 0x7BE00015
"hsub_u.h": 0x7BA00015
"hsub_u.w": 0x7BC00015
"ilvev.b": 0x7B000014
"ilvev.d": 0x7B600014
"ilvev.h": 0x7B200014
"ilvev.w": 0x7B400014
"ilvl.b": 0x7A000014
"ilvl.d": 0x7A600014
"ilvl.h": 0x7A200014
"ilvl.w": 0x7A400014
"ilvod.b": 0x7B800014
"ilvod.d": 0x7BE00014
"ilvod.h": 0x7BA00014
"ilvod.w": 0x7BC00014
"ilvr.b": 0x7A800014
"ilvr.d": 0x7AE00014
"ilvr.h": 0x7AA00014
"ilvr.w": 0x7AC00014
"ins": 0x7C000004
"insert.b": 0x79000019
"insert.d": 0x79380019
"insert.h": 0x79200019
"insert.w": 0x79300019
"insv": 0x7C00000C
"insve.b": 0x79400019
"insve.d": 0x79780019
"insve.h": 0x79600019
"insve.w": 0x79700019
"j": 0x08000000
"jal": 0x0C000000
"jalr": 0x00000809
"jalr.hb": 0x00000C09
"jialc": 0xF8000000
"jic": 0xD8000000
"jr": 0x00000008
"jr.hb": 0x00000409
"lb": 0x80000000
"lbu": 0x90000000
"lbux": 0x7C00018A
"ld.b": 0x78000020
"ld.d": 0x78000023
"ld.h": 0x78000021
"ld.w": 0x78000022
"ldc1": 0xD4000000
"ldc2": 0x49C00000
"ldi.b": 0x7B000007
"ldi.d": 0x7B600007
"ldi.h": 0x7B200007
"ldi.w": 0x7B400007
"lh": 0x84000000
"lhu": 0x94000000
"lhx": 0x7C00010A
"ll": 0x7C000036
"lld": 0x7C000037
"lsa": 0x00000005
"lw": 0x8C000000
"lwc1": 0xC4000000
"lwc2": 0x49400000
"lwpc": 0xEC080000
"lwupc": 0xEC100000
"lwx": 0x7C00000A
"madd": 0x70000000
"madd_q.h": 0x7940001C
"madd_q.w": 0x7960001C
"maddf.d": 0x46200018
"maddf.s": 0x46000018
"maddr_q.h": 0x7B40001C
"maddr_q.w": 0x7B60001C
"maddu": 0x70000001
"maddv.b": 0x78800012
"maddv.d": 0x78E00012
"maddv.h": 0x78A00012
"maddv.w": 0x78C00012
"maq_s.w.phl": 0x7C000530
"maq_s.w.phr": 0x7C0005B0
"maq_sa.w.phl": 0x7C000430
"maq_sa.w.phr": 0x7C0004B0
"max.d": 0x4620001D
"max.s": 0x4600001D
"max_a.b": 0x7B00000E
"max_a.d": 0x7B60000E
"max_a.h": 0x7B20000E
"max_a.w": 0x7B40000E
"max_s.b": 0x7900000E
"max_s.d": 0x7960000E
"max_s.h": 0x7920000E
"max_s.w": 0x7940000E
"max_u.b": 0x7980000E
"max_u.d": 0x79E0000E
"max_u.h": 0x79A0000E
"max_u.w": 0x79C0000E
"maxa.d": 0x4620001F
"maxa.s": 0x4600001F
"maxi_s.b": 0x79000006
"maxi_s.d": 0x79600006
"maxi_s.h": 0x79200006
"maxi_s.w": 0x79400006
"maxi_u.b": 0x79800006
"maxi_u.d": 0x79E00006
"maxi_u.h": 0x79A00006
"maxi_u.w": 0x79C00006
"mfc0": 0x40000000
"mfc1": 0x44000000
"mfc2": 0x48000000
"mfhc1": 0x44600000
"mfhi": 0x00000010
"mflo": 0x00000012
"min.d": 0x4620001C
"min.s": 0x4600001C
"min_a.b": 0x7B80000E
"min_a.d": 0x7BE0000E
"min_a.h": 0x7BA0000E
"min_a.w": 0x7BC0000E
"min_s.b": 0x7A00000E
"min_s.d": 0x7A60000E
"min_s.h": 0x7A20000E
"min_s.w": 0x7A40000E
"min_u.b": 0x7A80000E
"min_u.d": 0x7AE0000E
"min_u.h": 0x7AA0000E
"min_u.w": 0x7AC0000E
