F3A00500 vabal.u32
F3800500 vabal.u8
F3200D00 vabd.f32
F2100700 vabd.s16
F2200700 vabd.s32
F2000700 vabd.s8
F3100700 vabd.u16
F3200700 vabd.u32
F3000700 vabd.u8
F2900700 vabdl.s16
F2A00700 vabdl.s32
F2800700 vabdl.s8
F3900700 vabdl.u16
F3A00700 vabdl.u32
F3800700 vabdl.u8
F3B50300 vabs.s16
F3B90300 vabs.s32
F3B10300 vabs.s8
6EB00AC0 vabs<c>.f32
6EB00BC0 vabs<c>.f64
F3000E10 vacge.f32
F3200E10 vacgt.f32
F2100800 vadd.i16
F2200800 vadd.i32
F2300800 vadd.i64
F2000800 vadd.i8
6E300A00 vadd<c>.f32
6E300B00 vadd<c>.f64
F2800400 vaddhn.i16
F2900400 vaddhn.i32
F2A00400 vaddhn.i64
F2900000 vaddl.s16
F2A00000 vaddl.s32
F2800000 vaddl.s8
F3900000 vaddl.u16
F3A00000 vaddl.u32
F3800000 vaddl.u8
9E300A00 vaddls.f32
9E300B00 vaddls.f64
F2900100 vaddw.s16
F2A00100 vaddw.s32
F2800100 vaddw.s8
F3900100 vaddw.u16
F3A00100 vaddw.u32
F3800100 vaddw.u8
F2000110 vand
F2100110 vbic
F2800930 vbic.i16
F2800130 vbic.i32
F3300110 vbif
F3200110 vbit
F3100110 vbsl
F2000E00 vceq.f32
F3100810 vceq.i16
F3200810 vceq.i32
F3000810 vceq.i8
F3000E00 vcge.f32
F2100310 vcge.s16
F2200310 vcge.s32
F2000310 vcge.s8
F3100310 vcge.u16
F3200310 vcge.u32
F3000310 vcge.u8
F3200E00 vcgt.f32
F2100300 vcgt.s16
F2200300 vcgt.s32
F2000300 vcgt.s8
F3100300 vcgt.u16
F3200300 vcgt.u32
F3000300 vcgt.u8
F3B90580 vcle.f32
F3B50180 vcle.s16
F3B90180 vcle.s32
F3B10180 vcle.s8
F3B40400 vcls.s16
F3B80400 vcls.s32
F3B00400 vcls.s8
F3B90600 vclt.f32
F3B50200 vclt.s16
F3B90200 vclt.s32
F3B10200 vclt.s8
F3B40480 vclz.i16
F3B80480 vclz.i32
F3B00480 vclz.i8
6EB40A40 vcmp<c>.f32
6EB40B40 vcmp<c>.f64
6EB40AC0 vcmpe<c>.f32
6EB40BC0 vcmpe<c>.f64
F3B00500 vcnt.8
F3B60600 vcvt.f16.f32
F3B60700 vcvt.f32.f16
6EB70BC0 vcvt<c>.f32.f64
6EBA0A40 vcvt<c>.f32.s16
6EB80AC0 vcvt<c>.f32.s32
6EBB0A40 vcvt<c>.f32.u16
6EB80A40 vcvt<c>.f32.u32
6EB70AC0 vcvt<c>.f64.f32
6EBA0B40 vcvt<c>.f64.s16
6EB80BC0 vcvt<c>.f64.s32
6EBB0B40 vcvt<c>.f64.u16
6EB80B40 vcvt<c>.f64.u32
6EBE0A40 vcvt<c>.s16.f32
6EBE0B40 vcvt<c>.s16.f64
6EBD0AC0 vcvt<c>.s32.f32
6EBD0BC0 vcvt<c>.s32.f64
6EBF0A40 vcvt<c>.u16.f32
6EBF0B40 vcvt<c>.u16.f64
6EBC0AC0 vcvt<c>.u32.f32
6EBC0BC0 vcvt<c>.u32.f64
FEBC0AC0 vcvta.s32.f32
FEBC0BC0 vcvta.s32.f64
FEBC0A40 vcvta.u32.f32
FEBC0B40 vcvta.u32.f64
6EB30A40 vcvtb<c>.f16.f32
6EB30B40 vcvtb<c>.f16.f64
6EB20A40 vcvtb<c>.f32.f16
6EB20B40 vcvtb<c>.f64.f16
