'lbzux': 0x7C0000EE
'lbzx': 0x7C0000AE
'ld': 0xE8000000
'ldarx': 0x7C0000A8
'ldbrx': 0x7C000428
'ldu': 0xE8000001
'ldux': 0x7C00006A
'ldx': 0x7C00002A
'lfd': 0xC8000000
'lfdu': 0xCC000000
'lfdux': 0x7C0004EE
'lfdx': 0x7C0004AE
'lfiwax': 0x7C0006AE
'lfiwzx': 0x7C0006EE
'lfs': 0xC0000000
'lfsu': 0xC4000000
'lfsux': 0x7C00046E
'lfsx': 0x7C00042E
'lha': 0xA8000000
'lhau': 0xAC000000
'lhaux': 0x7C0002EE
'lhax': 0x7C0002AE
'lhbrx': 0x7C00062C
'lhz': 0xA0000000
'lhzu': 0xA4000000
'lhzux': 0x7C00026E
'lhzx': 0x7C00022E
'li': 0x38000000
'lis': 0x3C000000
'lmw': 0xB8000000
'lswi': 0x7C0004AA
'lvebx': 0x7C00000E
'lvehx': 0x7C00004E
'lvewx': 0x7C00008E
'lvsl': 0x7C00000C
'lvsr': 0x7C00004C
'lvx': 0x7C0000CE
'lvxl': 0x7C0002CE
'lwa': 0xE8000002
'lwarx': 0x7C000028
'lwaux': 0x7C0002EA
'lwax': 0x7C0002AA
'lwbrx': 0x7C00042C
'lwsync': 0x7C2004AC
'lwz': 0x80000000
'lwzu': 0x84000000
'lwzux': 0x7C00006E
'lwzx': 0x7C00002E
'lxsdx': 0x7C000498
'lxvd2x': 0x7C000698
'lxvdsx': 0x7C000298
'lxvw4x': 0x7C000618
'mbar': 0x7C0006AD
'mcrf': 0x4C000000
'mfamr': 0x7C1D02A6
'mfasr': 0x7C1842A6
'mfbr0': 0x7C002286
'mfbr1': 0x7C012286
'mfbr2': 0x7C022286
'mfbr3': 0x7C032286
'mfbr4': 0x7C042286
'mfbr5': 0x7C052286
'mfbr6': 0x7C062286
'mfbr7': 0x7C072286
'mfcfar': 0x7C1C02A6
'mfcr': 0x7C000026
'mfctr': 0x7C0902A6
'mfdar': 0x7C1302A6
'mfdbatl': 0x7C1982A6
'mfdbatu': 0x7C1882A6
'mfdccr': 0x7C1AFAA6
'mfdcr': 0x7C000286
'mfdear': 0x7C15F2A6
'mfdscr': 0x7C1102A6
'mfdsisr': 0x7C1202A6
'mfesr': 0x7C14F2A6
'mffs': 0xFC00048E
'mfibatl': 0x7C1182A6
'mfibatu': 0x7C1082A6
'mficcr': 0x7C1BFAA6
'mflr': 0x7C0802A6
'mfmsr': 0x7C0000A6
'mfocrf': 0x7C101026
'mfpid': 0x7C100AA6
