'bltlr+': 0x4DE00020
'bltlr-': 0x4DC00020
'bltlrl': 0x4D800021
'bltlrl+': 0x4DE00021
'bltlrl-': 0x4DC00021
'bne': 0x40820000
'bne+': 0x40E20000
'bne-': 0x40C20000
'bnea': 0x40820002
'bnea+': 0x40E20002
'bnea-': 0x40C20002
'bnectr': 0x4C820420
'bnectr+': 0x4CE20420
'bnectr-': 0x4CC20420
'bnectrl': 0x4C820421
'bnectrl+': 0x4CE20421
'bnectrl-': 0x4CC20421
'bnel': 0x40820001
'bnel+': 0x40E20001
'bnel-': 0x40C20001
'bnela': 0x40820003
'bnela+': 0x40E20003
'bnela-': 0x40C20003
'bnelr': 0x4C820020
'bnelr+': 0x4CE20020
'bnelr-': 0x4CC20020
'bnelrl': 0x4C820021
'bnelrl+': 0x4CE20021
'bnelrl-': 0x4CC20021
'bns': 0x40830000
'bns+': 0x40E30000
'bns-': 0x40C30000
'bnsa': 0x40830002
'bnsa+': 0x40E30002
'bnsa-': 0x40C30002
'bnsctr': 0x4C830420
'bnsctr+': 0x4CE30420
'bnsctr-': 0x4CC30420
'bnsctrl': 0x4C830421
'bnsctrl+': 0x4CE30421
'bnsctrl-': 0x4CC30421
'bnsl': 0x40830001
'bnsl+': 0x40E30001
'bnsl-': 0x40C30001
'bnsla': 0x40830003
'bnsla+': 0x40E30003
'bnsla-': 0x40C30003
'bnslr': 0x4C830020
'bnslr+': 0x4CE30020
'bnslr-': 0x4CC30020
'bnslrl': 0x4C830021
'bnslrl+': 0x4CE30021
'bnslrl-': 0x4CC30021
'bso': 0x41830000
'bso+': 0x41E30000
'bso-': 0x41C30000
'bsoa': 0x41830002
'bsoa+': 0x41E30002
'bsoa-': 0x41C30002
'bsoctr': 0x4D830420
'bsoctr+': 0x4DE30420
'bsoctr-': 0x4DC30420
'bsoctrl': 0x4D830421
'bsoctrl+': 0x4DE30421
'bsoctrl-': 0x4DC30421
'bsol': 0x41830001
'bsol+': 0x41E30001
'bsol-': 0x41C30001
'bsola': 0x41830003
'bsola+': 0x41E30003
'bsola-': 0x41C30003
'bsolr': 0x4D830020
'bsolr+': 0x4DE30020
'bsolr-': 0x4DC30020
'bsolrl': 0x4D830021
'bsolrl+': 0x4DE30021
'bsolrl-': 0x4DC30021
'clrldi': 0x78000020
'clrldi.': 0x78000021
'clrlwi': 0x5400007E
'clrlwi.': 0x5400007F
'cmpd': 0x7C200000
'cmpdi': 0x2C200000
'cmpld': 0x7C200040
'cmpldi': 0x28200000
'cmplw': 0x7C000040
'cmplwi': 0x28000000
'cmpw': 0x7C000000
'cmpwi': 0x2C000000
'cntlzd': 0x7C000074
'cntlzd.': 0x7C000075
'cntlzw': 0x7C000034
'cntlzw.': 0x7C000035
'crand': 0x4C000202
'crandc': 0x4C000102
'crclr': 0x4C000182
'creqv': 0x4C000A42
'crmove': 0x4C000382
'crnand': 0x4C0001C2
'crnor': 0x4C000842
'crnot': 0x4C000042
'cror': 0x4C000B82
'crorc': 0x4C000342
'crset': 0x4C000242
'crxor': 0x4C000982
'dcba': 0x7C0005EC
'dcbf': 0x7C0000AC
'dcbi': 0x7C0003AC
'dcbst': 0x7C00006C
'dcbt': 0x7C00022C
'dcbtst': 0x7C0001EC
'dcbz': 0x7C0007EC
'dcbzl': 0x7C2007EC
'dccci': 0x7C00038C
'divd': 0x7C0003D2
'divd.': 0x7C0003D3
'divdu': 0x7C000392
'divdu.': 0x7C000393
'divw': 0x7C0003D6
'divw.': 0x7C0003D7
'divwu': 0x7C000396
'divwu.': 0x7C000397
'dss': 0x7C00066C
'dssall': 0x7E00066C
'dst': 0x7C0002AC
'dstst': 0x7C0002EC
'dststt': 0x7E0002EC
'dstt': 0x7E0002AC
'eieio': 0x7C0006AC
'eqv': 0x7C000238
'eqv.': 0x7C000239
'extsb': 0x7C000774
'extsb.': 0x7C000775
'extsh': 0x7C000734
'extsh.': 0x7C000735
'extsw': 0x7C0007B4
'extsw.': 0x7C0007B5
'fabs': 0xFC000210
'fabs.': 0xFC000211
'fadd': 0xFC00002A
'fadd.': 0xFC00002B
'fadds': 0xEC00002A
'fadds.': 0xEC00002B
'fcfid': 0xFC00069C
'fcfid.': 0xFC00069D
'fcfids': 0xEC00069C
'fcfids.': 0xEC00069D
'fcfidu': 0xFC00079C
'fcfidu.': 0xFC00079D
'fcfidus': 0xEC00079C
'fcfidus.': 0xEC00079D
'fcmpu': 0xFC000000
'fcpsgn': 0xFC000010
'fcpsgn.': 0xFC000011
'fctid': 0xFC00065C
'fctid.': 0xFC00065D
'fctiduz': 0xFC00075E
'fctiduz.': 0xFC00075F
'fctidz': 0xFC00065E
'fctidz.': 0xFC00065F
'fctiw': 0xFC00001C
'fctiw.': 0xFC00001D
'fctiwuz': 0xFC00011E
'fctiwuz.': 0xFC00011F
'fctiwz': 0xFC00001E
'fctiwz.': 0xFC00001F
'fdiv': 0xFC000024
'fdiv.': 0xFC000025
'fdivs': 0xEC000024
'fdivs.': 0xEC000025
'fmadd': 0xFC00003A
'fmadd.': 0xFC00003B
'fmadds': 0xEC00003A
'fmadds.': 0xEC00003B
'fmr': 0xFC000090
'fmr.': 0xFC000091
'fmsub': 0xFC000038
'fmsub.': 0xFC000039
'fmsubs': 0xEC000038
'fmsubs.': 0xEC000039
'fmul': 0xFC000032
'fmul.': 0xFC000033
'fmuls': 0xEC000032
'fmuls.': 0xEC000033
'fnabs': 0xFC000110
'fnabs.': 0xFC000111
'fneg': 0xFC000050
'fneg.': 0xFC000051
'fnmadd': 0xFC00003E
'fnmadd.': 0xFC00003F
'fnmadds': 0xEC00003E
'fnmadds.': 0xEC00003F
'fnmsub': 0xFC00003C
'fnmsub.': 0xFC00003D
'fnmsubs': 0xEC00003C
'fnmsubs.': 0xEC00003D
'fre': 0xFC000030
'fre.': 0xFC000031
'fres': 0xEC000030
'fres.': 0xEC000031
'frim': 0xFC0003D0
'frim.': 0xFC0003D1
'frin': 0xFC000310
'frin.': 0xFC000311
'frip': 0xFC000390
'frip.': 0xFC000391
'friz': 0xFC000350
'friz.': 0xFC000351
'frsp': 0xFC000018
'frsp.': 0xFC000019
'frsqrte': 0xFC000034
'frsqrte.': 0xFC000035
'frsqrtes': 0xEC000034
'frsqrtes.': 0xEC000035
'fsel': 0xFC00002E
'fsel.': 0xFC00002F
'fsqrt': 0xFC00002C
'fsqrt.': 0xFC00002D
'fsqrts': 0xEC00002C
'fsqrts.': 0xEC00002D
'fsub': 0xFC000028
'fsub.': 0xFC000029
'fsubs': 0xEC000028
'fsubs.': 0xEC000029
'icbi': 0x7C0007AC
'iccci': 0x7C00078C
'isel': 0x7C00001E
'isync': 0x4C00012C
'lbz': 0x88000000
'lbzu': 0x8C000000
'lbzux': 0x7C0000EE
'lbzx': 0x7C0000AE
'ld': 0xE8000000
