"binsli.w WREG , WREG , NUM": 0x7B400009
"binsr.b WREG , WREG , WREG": 0x7B80000D
"binsr.d WREG , WREG , WREG": 0x7BE0000D
"binsr.h WREG , WREG , WREG": 0x7BA0000D
"binsr.w WREG , WREG , WREG": 0x7BC0000D
"binsri.b WREG , WREG , NUM": 0x7BF00009
"binsri.d WREG , WREG , NUM": 0x7B800009
"binsri.h WREG , WREG , NUM": 0x7BE00009
"binsri.w WREG , WREG , NUM": 0x7BC00009
"bitrev GPREG , GPREG": 0x7C0006D2
"bitswap GPREG , GPREG": 0x7C000020
"blez GPREG , OFFS": 0x18000000
"blezalc GPREG , OFFS": 0x18010000
"blezc GPREG , OFFS": 0x58010000
"blezl GPREG , OFFS": 0x58000000
"bltc GPREG , GPREG , OFFS": 0x5C220000
"bltuc GPREG , GPREG , OFFS": 0x1C220000
"bltz GPREG , OFFS": 0x04000000
"bltzalc GPREG , OFFS": 0x1C210000
"bltzall GPREG , OFFS": 0x04120000
"bltzc GPREG , OFFS": 0x5C210000
"bltzl GPREG , OFFS": 0x04020000
"bmnz.v WREG , WREG , WREG": 0x7880001E
"bmnzi.b WREG , WREG , NUM": 0x78000001
"bmz.v WREG , WREG , WREG": 0x78A0001E
"bmzi.b WREG , WREG , NUM": 0x79000001
"bne GPREG , GPREG , OFFS": 0x14010000
"bnec GPREG , GPREG , OFFS": 0x60220000
"bneg.b WREG , WREG , WREG": 0x7A80000D
"bneg.d WREG , WREG , WREG": 0x7AE0000D
"bneg.h WREG , WREG , WREG": 0x7AA0000D
"bneg.w WREG , WREG , WREG": 0x7AC0000D
"bnegi.b WREG , WREG , NUM": 0x7AF00009
"bnegi.d WREG , WREG , NUM": 0x7A800009
"bnegi.h WREG , WREG , NUM": 0x7AE00009
"bnegi.w WREG , WREG , NUM": 0x7AC00009
"bnel GPREG , GPREG , OFFS": 0x54010000
"bnez GPREG , OFFS": 0x14000000
"bnezalc GPREG , OFFS": 0x60010000
"bnezc GPREG , OFFS": 0xF8200000
"bnezl GPREG , OFFS": 0x54000000
"bnvc GPREG , GPREG , OFFS": 0x60000000
"bnz.b WREG , NUM": 0x47800000
"bnz.d WREG , NUM": 0x47E00000
"bnz.h WREG , NUM": 0x47A00000
"bnz.v WREG , NUM": 0x45E00000
"bnz.w WREG , NUM": 0x47C00000
"bovc GPREG , GPREG , OFFS": 0x20000000
"bposge32 NUM": 0x041C0000
"break": 0x0000000D
"break NUM , NUM": 0x0000004D
"break NUM": 0x0001000D
"bsel.v WREG , WREG , WREG": 0x78C0001E
"bseli.b WREG , WREG , NUM": 0x7A000001
"bset.b WREG , WREG , WREG": 0x7A00000D
"bset.d WREG , WREG , WREG": 0x7A60000D
"bset.h WREG , WREG , WREG": 0x7A20000D
"bset.w WREG , WREG , WREG": 0x7A40000D
"bseti.b WREG , WREG , NUM": 0x7A700009
"bseti.d WREG , WREG , NUM": 0x7A000009
"bseti.h WREG , WREG , NUM": 0x7A600009
"bseti.w WREG , WREG , NUM": 0x7A400009
"bz.b WREG , NUM": 0x47000000
"bz.d WREG , NUM": 0x47600000
"bz.h WREG , NUM": 0x47200000
"bz.v WREG , NUM": 0x45600000
"bz.w WREG , NUM": 0x47400000
"cache , ( )": 0x7C000025
"cache , ( NUM )": 0x7C0000A5
"cache , NUM ( )": 0x7C010025
"cache , NUM ( NUM )": 0x7C0100A5
"ceil.w.d FREG , FREG": 0x4620000E
"ceil.w.s FREG , FREG": 0x4600000E
"ceq.b WREG , WREG , WREG": 0x7800000F
"ceq.d WREG , WREG , WREG": 0x7860000F
"ceq.h WREG , WREG , WREG": 0x7820000F
"ceq.w WREG , WREG , WREG": 0x7840000F
"ceqi.b WREG , WREG , NUM": 0x78000007
"ceqi.d WREG , WREG , NUM": 0x78600007
"ceqi.h WREG , WREG , NUM": 0x78200007
"ceqi.w WREG , WREG , NUM": 0x78400007
"cfc1 GPREG , CASH": 0x44400000
"cfcmsa GPREG , CASH": 0x787E0019
"class.d FREG , FREG": 0x4620001B
"class.s FREG , FREG": 0x4600001B
"cle_s.b WREG , WREG , WREG": 0x7A00000F
"cle_s.d WREG , WREG , WREG": 0x7A60000F
"cle_s.h WREG , WREG , WREG": 0x7A20000F
"cle_s.w WREG , WREG , WREG": 0x7A40000F
"cle_u.b WREG , WREG , WREG": 0x7A80000F
"cle_u.d WREG , WREG , WREG": 0x7AE0000F
"cle_u.h WREG , WREG , WREG": 0x7AA0000F
"cle_u.w WREG , WREG , WREG": 0x7AC0000F
"clei_s.b WREG , WREG , NUM": 0x7A000007
"clei_s.d WREG , WREG , NUM": 0x7A600007
"clei_s.h WREG , WREG , NUM": 0x7A200007
"clei_s.w WREG , WREG , NUM": 0x7A400007
"clei_u.b WREG , WREG , NUM": 0x7A800007
"clei_u.d WREG , WREG , NUM": 0x7AE00007
"clei_u.h WREG , WREG , NUM": 0x7AA00007
"clei_u.w WREG , WREG , NUM": 0x7AC00007
"clo GPREG , GPREG": 0x00000051
"clt_s.b WREG , WREG , WREG": 0x7900000F
"clt_s.d WREG , WREG , WREG": 0x7960000F
"clt_s.h WREG , WREG , WREG": 0x7920000F
"clt_s.w WREG , WREG , WREG": 0x7940000F
"clt_u.b WREG , WREG , WREG": 0x7980000F
"clt_u.d WREG , WREG , WREG": 0x79E0000F
"clt_u.h WREG , WREG , WREG": 0x79A0000F
"clt_u.w WREG , WREG , WREG": 0x79C0000F
"clti_s.b WREG , WREG , NUM": 0x79000007
"clti_s.d WREG , WREG , NUM": 0x79600007
"clti_s.h WREG , WREG , NUM": 0x79200007
"clti_s.w WREG , WREG , NUM": 0x79400007
"clti_u.b WREG , WREG , NUM": 0x79800007
"clti_u.d WREG , WREG , NUM": 0x79E00007
"clti_u.h WREG , WREG , NUM": 0x79A00007
"clti_u.w WREG , WREG , NUM": 0x79C00007
"clz GPREG , GPREG": 0x00000050
"cmp.af.d FREG , FREG , FREG": 0x46A00000
"cmp.af.s FREG , FREG , FREG": 0x46800000
"cmp.eq.d FREG , FREG , FREG": 0x46A00002
"cmp.eq.ph GPREG , GPREG": 0x7C000211
"cmp.eq.s FREG , FREG , FREG": 0x46800002
"cmp.le.d FREG , FREG , FREG": 0x46A00006
"cmp.le.ph GPREG , GPREG": 0x7C000291
"cmp.le.s FREG , FREG , FREG": 0x46800006
"cmp.lt.d FREG , FREG , FREG": 0x46A00004
"cmp.lt.ph GPREG , GPREG": 0x7C000251
"cmp.lt.s FREG , FREG , FREG": 0x46800004
"cmp.saf.d FREG , FREG , FREG": 0x46A00008
"cmp.saf.s FREG , FREG , FREG": 0x46800008
"cmp.seq.d FREG , FREG , FREG": 0x46A0000A
"cmp.seq.s FREG , FREG , FREG": 0x4680000A
"cmp.sle.d FREG , FREG , FREG": 0x46A0000E
"cmp.sle.s FREG , FREG , FREG": 0x4680000E
"cmp.slt.d FREG , FREG , FREG": 0x46A0000C
"cmp.slt.s FREG , FREG , FREG": 0x4680000C
"cmp.sueq.d FREG , FREG , FREG": 0x46A0000B
"cmp.sueq.s FREG , FREG , FREG": 0x4680000B
"cmp.sule.d FREG , FREG , FREG": 0x46A0000F
"cmp.sule.s FREG , FREG , FREG": 0x4680000F
"cmp.sult.d FREG , FREG , FREG": 0x46A0000D
"cmp.sult.s FREG , FREG , FREG": 0x4680000D
"cmp.sun.d FREG , FREG , FREG": 0x46A00009
"cmp.sun.s FREG , FREG , FREG": 0x46800009
"cmp.ueq.d FREG , FREG , FREG": 0x46A00003
"cmp.ueq.s FREG , FREG , FREG": 0x46800003
"cmp.ule.d FREG , FREG , FREG": 0x46A00007
"cmp.ule.s FREG , FREG , FREG": 0x46800007
"cmp.ult.d FREG , FREG , FREG": 0x46A00005
"cmp.ult.s FREG , FREG , FREG": 0x46800005
"cmp.un.d FREG , FREG , FREG": 0x46A00001
"cmp.un.s FREG , FREG , FREG": 0x46800001
"cmpgdu.eq.qb GPREG , GPREG , GPREG": 0x7C000611
"cmpgdu.le.qb GPREG , GPREG , GPREG": 0x7C000691
"cmpgdu.lt.qb GPREG , GPREG , GPREG": 0x7C000651
"cmpgu.eq.qb GPREG , GPREG , GPREG": 0x7C000111
"cmpgu.le.qb GPREG , GPREG , GPREG": 0x7C000191
"cmpgu.lt.qb GPREG , GPREG , GPREG": 0x7C000151
"cmpu.eq.qb GPREG , GPREG": 0x7C000011
"cmpu.le.qb GPREG , GPREG": 0x7C000091
"cmpu.lt.qb GPREG , GPREG": 0x7C000051
"copy_s.b GPREG , WREG [ NUM ]": 0x78800019
"copy_s.d GPREG , WREG [ NUM ]": 0x78B80019
"copy_s.h GPREG , WREG [ NUM ]": 0x78A00019
"copy_s.w GPREG , WREG [ NUM ]": 0x78B00019
