"bxjgt": 0xC12FFF20
"bxjhi": 0x812FFF20
"bxjhs": 0x212FFF20
"bxjle": 0xD12FFF20
"bxjlo": 0x312FFF20
"bxjls": 0x912FFF20
"bxjlt": 0xB12FFF20
"bxjmi": 0x412FFF20
"bxjne": 0x112FFF20
"bxjpl": 0x512FFF20
"bxjvc": 0x712FFF20
"bxjvs": 0x612FFF20
"bxle": 0xD12FFF10
"bxlo": 0x312FFF10
"bxls": 0x912FFF10
"bxlt": 0xB12FFF10
"bxmi": 0x412FFF10
"bxne": 0x112FFF10
"bxpl": 0x512FFF10
"bxvc": 0x712FFF10
"bxvs": 0x612FFF10
"cdp": 0xEE000000
"cdp2": 0xFE000000
"cdpeq": 0x0E000000
"cdpge": 0xAE000000
"cdpgt": 0xCE000000
"cdphi": 0x8E000000
"cdphs": 0x2E000000
"cdple": 0xDE000000
"cdplo": 0x3E000000
"cdpls": 0x9E000000
"cdplt": 0xBE000000
"cdpmi": 0x4E000000
"cdpne": 0x1E000000
"cdppl": 0x5E000000
"cdpvc": 0x7E000000
"cdpvs": 0x6E000000
"clrex": 0xF57FF01F
"clz": 0xE16F0F10
"clzeq": 0x016F0F10
"clzge": 0xA16F0F10
"clzgt": 0xC16F0F10
"clzhi": 0x816F0F10
"clzhs": 0x216F0F10
"clzle": 0xD16F0F10
"clzlo": 0x316F0F10
"clzls": 0x916F0F10
"clzlt": 0xB16F0F10
"clzmi": 0x416F0F10
"clzne": 0x116F0F10
"clzpl": 0x516F0F10
"clzvc": 0x716F0F10
"clzvs": 0x616F0F10
"cmn": 0xE1700000
"cmneq": 0x01700000
"cmnge": 0xA1700000
"cmngt": 0xC1700000
"cmnhi": 0x81700000
"cmnhs": 0x21700000
"cmnle": 0xD1700000
"cmnlo": 0x31700000
"cmnls": 0x91700000
"cmnlt": 0xB1700000
"cmnmi": 0x41700000
"cmnne": 0x11700000
"cmnpl": 0x51700000
"cmnvc": 0x71700000
"cmnvs": 0x61700000
"cmp": 0xE1500000
"cmpeq": 0x01500000
"cmpge": 0xA1500000
"cmpgt": 0xC1500000
"cmphi": 0x81500000
"cmphs": 0x21500000
"cmple": 0xD1500000
"cmplo": 0x31500000
"cmpls": 0x91500000
"cmplt": 0xB1500000
"cmpmi": 0x41500000
"cmpne": 0x11500000
"cmppl": 0x51500000
"cmpvc": 0x71500000
"cmpvs": 0x61500000
"cps": 0xF1000000
"cpsid": 0xF10C0000
"cpsie": 0xF1080000
"dbg": 0xE320F0F0
"dbgeq": 0x0320F0F0
"dbgge": 0xA320F0F0
"dbggt": 0xC320F0F0
"dbghi": 0x8320F0F0
"dbghs": 0x2320F0F0
"dbgle": 0xD320F0F0
"dbglo": 0x3320F0F0
"dbgls": 0x9320F0F0
"dbglt": 0xB320F0F0
"dbgmi": 0x4320F0F0
"dbgne": 0x1320F0F0
"dbgpl": 0x5320F0F0
"dbgvc": 0x7320F0F0
"dbgvs": 0x6320F0F0
"dmb": 0xF57FF050
"dsb": 0xF57FF040
"eor": 0xE0200000
"eoreq": 0x00200000
"eorge": 0xA0200000
"eorgt": 0xC0200000
"eorhi": 0x80200000
"eorhs": 0x20200000
"eorle": 0xD0200000
"eorlo": 0x30200000
"eorls": 0x90200000
"eorlt": 0xB0200000
"eormi": 0x40200000
"eorne": 0x10200000
"eorpl": 0x50200000
"eors": 0xE0300000
"eorseq": 0x00300000
"eorsge": 0xA0300000
"eorsgt": 0xC0300000
"eorshi": 0x80300000
"eorshs": 0x20300000
"eorsle": 0xD0300000
"eorslo": 0x30300000
"eorsls": 0x90300000
"eorslt": 0xB0300000
"eorsmi": 0x40300000
"eorsne": 0x10300000
"eorspl": 0x50300000
"eorsvc": 0x70300000
"eorsvs": 0x60300000
"eorvc": 0x70200000
"eorvs": 0x60200000
"fldmdbx": 0xED300B01
"fldmdbxeq": 0x0D300B01
"fldmdbxge": 0xAD300B01
"fldmdbxgt": 0xCD300B01
"fldmdbxhi": 0x8D300B01
"fldmdbxhs": 0x2D300B01
"fldmdbxle": 0xDD300B01
"fldmdbxlo": 0x3D300B01
"fldmdbxls": 0x9D300B01
"fldmdbxlt": 0xBD300B01
"fldmdbxmi": 0x4D300B01
"fldmdbxne": 0x1D300B01
"fldmdbxpl": 0x5D300B01
"fldmdbxvc": 0x7D300B01
"fldmdbxvs": 0x6D300B01
"fldmiax": 0xEC900B01
"fldmiaxeq": 0x0C900B01
"fldmiaxge": 0xAC900B01
"fldmiaxgt": 0xCC900B01
"fldmiaxhi": 0x8C900B01
"fldmiaxhs": 0x2C900B01
"fldmiaxle": 0xDC900B01
"fldmiaxlo": 0x3C900B01
"fldmiaxls": 0x9C900B01
"fldmiaxlt": 0xBC900B01
"fldmiaxmi": 0x4C900B01
"fldmiaxne": 0x1C900B01
"fldmiaxpl": 0x5C900B01
"fldmiaxvc": 0x7C900B01
"fldmiaxvs": 0x6C900B01
"fstmdbx": 0xED200B01
"fstmdbxeq": 0x0D200B01
"fstmdbxge": 0xAD200B01
"fstmdbxgt": 0xCD200B01
"fstmdbxhi": 0x8D200B01
"fstmdbxhs": 0x2D200B01
"fstmdbxle": 0xDD200B01
"fstmdbxlo": 0x3D200B01
"fstmdbxls": 0x9D200B01
"fstmdbxlt": 0xBD200B01
"fstmdbxmi": 0x4D200B01
"fstmdbxne": 0x1D200B01
"fstmdbxpl": 0x5D200B01
"fstmdbxvc": 0x7D200B01
"fstmdbxvs": 0x6D200B01
"fstmiax": 0xEC800B01
"fstmiaxeq": 0x0C800B01
"fstmiaxge": 0xAC800B01
"fstmiaxgt": 0xCC800B01
"fstmiaxhi": 0x8C800B01
"fstmiaxhs": 0x2C800B01
"fstmiaxle": 0xDC800B01
"fstmiaxlo": 0x3C800B01
"fstmiaxls": 0x9C800B01
"fstmiaxlt": 0xBC800B01
"fstmiaxmi": 0x4C800B01
